company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
SGS,3.8,2k,6.2k,125,122,"Testing, Inspection and Certification (TIC)",Mumbai +145 other locations,178,25
Novartis,4.1,2k,10k,166,149,Pharma,Hyderabad / Secunderabad +75 other locations,226,25
YASH Technologies,3.7,2k,16.2k,169,379,IT Services & Consulting,Hyderabad / Secunderabad +31 other locations,172,25
Senco Gold,4.4,2k,1.5k,633,6,Jewellery,Kolkata +77 other locations,35,25
EPAM Systems,3.7,2k,21.4k,612,74,IT Services & Consulting,Hyderabad / Secunderabad +35 other locations,132,25
HSBC Electronic Data Processing,4.1,2k,8.6k,86,--,IT Services & Consulting,Bangalore / Bengaluru +19 other locations,20,25
AECOM,4.2,1.9k,6.9k,149,126,Engineering & Construction,Gurgaon / Gurugram +121 other locations,243,25
SAP,4.1,1.9k,17.4k,313,208,Software Product,Bangalore / Bengaluru +53 other locations,284,25
L&T Energy Hydrocarbon,3.8,1.9k,8.3k,117,--,Engineering & Construction,Vadodara +87 other locations,201,25
IDBI Bank,3.4,1.9k,6k,81,--,Banking,Mumbai +328 other locations,137,25
NTT DATA Business Solutions,4.1,1.9k,12.2k,206,31,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,14,25
K12 Techno Services,3.6,1.9k,5.2k,412,225,EdTech,Bangalore / Bengaluru +41 other locations,61,25
Narayana Health,3.9,1.9k,5.9k,91,113,Healthcare,Bangalore / Bengaluru +64 other locations,143,25
Paisabazaar.com,3.4,1.9k,6.9k,167,41,Internet,Gurgaon / Gurugram +35 other locations,98,25
Aditya Birla Health Insurance Co,3.7,1.9k,7.1k,119,4,Insurance,Mumbai +250 other locations,93,25
Honeywell Automation,3.7,1.9k,11.9k,132,--,Industrial Automation,Pune +79 other locations,159,25
Schindler,3.9,1.9k,6.1k,120,73,Industrial Machinery,Pune +88 other locations,194,25
R.R. Donnelley,3.7,1.9k,10k,128,31,Marketing & Advertising,Chennai +27 other locations,243,25
Uflex,3.8,1.9k,6.7k,127,70,Packaging,Noida +47 other locations,117,25
Motherson Automotive Technologies and Engineering,3.8,1.9k,7.3k,151,36,Auto Components,Chennai +67 other locations,151,25
Gabriel India Limited,4.1,1.9k,5.6k,132,--,Auto Components,Pune +51 other locations,249,26
Philips,3.8,1.9k,10.9k,176,99,Medical Equipment,Bangalore / Bengaluru +96 other locations,180,26
Dr Lal PathLabs,4.2,1.9k,4.5k,171,86,Healthcare,New Delhi +202 other locations,192,26
NCR Corporation,3.5,1.9k,9.2k,143,35,IT Services & Consulting,Hyderabad / Secunderabad +89 other locations,173,26
V-Guard Industries,4.3,1.9k,4.5k,116,29,Consumer Electronics & Appliances,Kochi +169 other locations,274,26
Haier Appliances India,3.9,1.9k,6.9k,161,20,Consumer Electronics & Appliances,Pune +156 other locations,165,26
Spinny,3.7,1.9k,7.2k,201,47,Internet,Gurgaon / Gurugram +62 other locations,101,26
Microland,3.5,1.9k,10.6k,143,585,IT Services & Consulting,Bangalore / Bengaluru +46 other locations,158,26
Shadowfax Technologies,3.5,1.9k,7.5k,163,47,Logistics,Bangalore / Bengaluru +239 other locations,81,26
Trent,3.8,1.9k,4.6k,107,5,Retail,Mumbai +143 other locations,133,26
Parle Products,3.9,1.9k,3.8k,113,8,FMCG,Mumbai +241 other locations,201,26
Globiva,3.0,1.9k,5.2k,136,111,BPO,Gurgaon / Gurugram +27 other locations,83,26
Tekwissen,4.9,1.9k,565,341,44,IT Services & Consulting,Visakhapatnam +5 other locations,3,26
Lucas-TVS,3.9,1.9k,6k,90,10,Auto Components,Chennai +76 other locations,212,26
CMS Infosystems,3.5,1.9k,4.7k,76,8,Software Product,Mumbai +216 other locations,104,26
